Date,Close,Volume,log_return,simple_return
2021-06-12,35552.515625,37924228550,-0.048904195040405544,-0.047727642256857994
2021-06-13,39097.859375,40669112838,0.09505680129465752,0.09972131894675185
2021-06-14,40218.4765625,43148914673,0.02825878796632069,0.028661855288592664
2021-06-15,40406.26953125,46420149185,0.004658453327527578,0.004669320789865594
2021-06-16,38347.0625,39211635100,-0.052307031596144006,-0.05096256237308472
2021-06-17,38053.50390625,37096670047,-0.007684760787668957,-0.007655308506355651
2021-06-18,35787.24609375,36200887275,-0.06140159139173661,-0.0595545108824469
2021-06-19,35615.87109375,31207279719,-0.004800219817294286,-0.004788717174578294
2021-06-20,35698.296875,36664034054,0.0023116253137915738,0.002314299179515533
2021-06-21,31676.693359375,52809038594,-0.119521795848678,-0.11265533282181261
2021-06-22,32505.66015625,58964353058,0.025833047609393114,0.02616961270137308
2021-06-23,33723.02734375,46317108925,0.03676667515561315,0.0374509295196066
2021-06-24,34662.4375,33123368116,0.027475699857643344,0.027856637741157764
2021-06-25,31637.779296875,40230904226,-0.09130465397426267,-0.0872604012088013
2021-06-26,32186.27734375,38585385521,0.01718823840092292,0.017336806155961115
2021-06-27,34649.64453125,35511640894,0.0737472744793095,0.07653470332064805
2021-06-28,34434.3359375,33892523752,-0.006233262455755746,-0.006213875976586625
2021-06-29,35867.77734375,37901460044,0.040785121124139886,0.04162825758718758
2021-06-30,35040.8359375,34059036099,-0.02332520296585249,-0.02305527321430456
2021-07-01,33572.1171875,37838957079,-0.04281824560087459,-0.04191448950075438
2021-07-02,33897.046875,38728974942,0.00963202091343982,0.00967855812266083
2021-07-03,34668.546875,24383958643,0.022504948021345134,0.022760094790705843
2021-07-04,35287.78125,24924307911,0.017703918010918158,0.017861561294527206
2021-07-05,33746.00390625,26721554282,-0.04467475626166748,-0.043691535402215154
2021-07-06,34235.1953125,26501259870,0.014392210079461632,0.014496276584600176
2021-07-07,33855.328125,24796027477,-0.011157826650301255,-0.011095808977648836
2021-07-08,32877.37109375,29910396946,-0.029311778537964177,-0.028886355129662422
2021-07-09,33798.01171875,27436021028,0.02761736344787324,0.02800225791699673
