Date,Close,High,Low,Open,Volume,Return,Log_Return
2021-06-22,130.59727478027344,130.69475593415476,128.2968593599112,128.79399242175575,74783600,0.012698452890385736,0.012618503647209175
2021-06-23,130.32432556152344,130.92868185123652,129.8661909803765,130.39256533356104,60214200,-0.0020900070021310224,-0.0020921941146838817
2021-06-24,130.04161071777344,131.24055098607798,129.5737192545333,131.0553458077365,68711000,-0.0021693175278818533,-0.002171673905587982
2021-06-25,129.74923706054688,130.50954241745376,129.4568084909208,130.09040620403312,70783700,-0.002248308488435269,-0.002250839728682505
2021-06-28,131.37704467773438,131.83517920756188,129.9831567614525,130.04163948891443,62111300,0.012545797216733545,0.012467750794625369
2021-06-29,132.88795471191406,133.0439186165466,130.95794973108042,131.39658519851488,64556100,0.011500563419476473,0.011434934639325543
2021-06-30,133.5020294189453,133.9406648079474,132.43953852296474,132.73196707347742,63261400,0.004620995998941391,0.004610351974995553
2021-07-01,133.80421447753906,133.86269721920397,132.33232940247316,133.15113240638843,52485800,0.002263524082060542,0.0022609661706277174
2021-07-02,136.42630004882812,136.4652835854969,134.27209152787285,134.41829838230024,78852600,0.019596434847193978,0.01940689689463793
2021-07-06,138.4342498779297,139.53570925876045,136.53348691022637,136.53348691022637,108181800,0.01471820190375972,0.014610940354055042
2021-07-07,140.919921875,141.23183482081484,139.05814174627804,139.9159135024217,104911600,0.017955614302545442,0.017796316296198923
2021-07-08,139.62347412109375,140.42276298269945,137.11835448019005,138.0053823208354,105575500,-0.009199889814416995,-0.00924247015823567
2021-07-09,141.4462432861328,141.97260274724476,139.04834716131978,139.1458282969305,99890800,0.013054890493973792,0.012970409873532804
2021-07-12,140.8516845703125,142.6257406086967,140.36430849913495,142.51851727809614,76299700,-0.004203425287284457,-0.004212284514138562
2021-07-13,141.96287536621094,143.7369310790402,140.00362927408963,140.39352411006757,100827100,0.00788908417594203,0.007858128055082687
2021-07-14,145.38424682617188,145.79365573228569,143.95136027537654,144.36076918149035,127050800,0.02410046606294136,0.02381463319429961
2021-07-15,144.73121643066406,146.21284408195228,143.3763113371129,145.472037693078,106820300,-0.004491754848024221,-0.004501873089306412
2021-07-16,142.6939239501953,145.97883295333372,142.19680585690423,144.71166743629377,93251400,-0.014076386081124048,-0.01417639805102023
2021-07-19,138.8533935546875,140.43250161447835,138.09308832622733,140.1205738932986,121434600,-0.02691446341365089,-0.02728329049931604
2021-07-20,142.45997619628906,143.3860023478585,139.35053030452949,139.83790622702588,96350000,0.025974033109829042,0.025642437568487445
2021-07-21,141.7289276123047,142.4405072449087,140.97837931958148,141.85565012536404,74993500,-0.005131606809881117,-0.005144818722381822
2021-07-22,143.0935821533203,144.4582288663732,142.12857241610413,142.25529492286392,77338200,0.009628623909076595,0.009582564135354011
2021-07-23,144.8091278076172,144.96509166825837,143.210535419876,143.82463382519293,71447400,0.011988976923218875,0.01191767843759073
2021-07-26,145.22828674316406,146.04707474588002,143.97084849928373,144.5264642055409,72434100,0.002894561564542597,0.002890380387723058
2021-07-27,143.06434631347656,145.4427434254304,141.87514775749966,145.35500444699645,104818600,-0.0149002682481163,-0.015012392426008441
2021-07-28,141.3195343017578,143.25929604709813,138.94113715127986,141.15382825419624,118931200,-0.012195994716220904,-0.012270976132082622
2021-07-29,141.96287536621094,142.84990322262558,140.92964066468824,141.03686397561236,56699500,0.004552385964415873,0.004542055196660633
2021-07-30,142.17730712890625,142.63544169374407,140.47149137109437,140.73467853831747,70440600,0.0015104777368177835,0.0015093381127612492
2021-08-02,141.8459014892578,143.2397895751834,141.582714310116,142.6646895204393,62880000,-0.0023309320336751815,-0.002333652884649421
2021-08-03,143.63943481445312,144.30225894055675,141.51446802349406,142.12856645538005,64786600,0.012644237911457301,0.01256496704899535
2021-08-04,143.2397918701172,144.058579914417,142.58670986762564,143.5517196242508,56368300,-0.0027822648066819777,-0.0027861424995916724
2021-08-05,143.34701538085938,144.107320690727,142.47948676454712,143.26903344221475,46397700,0.0007485595262481937,0.0007482794953038653
2021-08-06,142.66363525390625,143.61056217962263,142.16577244694983,142.8686463484262,54126800,-0.0047673132582317646,-0.0047787131417238015
2021-08-09,142.6148681640625,143.21035833317768,142.05843483321482,142.72225212556916,48908700,-0.0003418326594366583,-0.0003418910975379342
2021-08-10,142.13650512695312,144.19631350606738,141.84363848192044,142.9565198163916,69023100,-0.0033542297746899097,-0.003359867814431494
2021-08-11,142.3903350830078,143.2298783064216,142.06818321748432,142.57581781429272,48493500,0.0017858181881422741,0.001784225510714689
2021-08-12,145.34825134277344,145.50444888855472,142.37080079552103,142.7124810649403,72282600,0.020773293763521883,0.020560471200640182
2021-08-13,145.5532989501953,145.88520764627282,144.74304073624972,145.42638655047446,59375000,0.0014107332253920912,0.001409739076151886
2021-08-16,147.52525329589844,147.59359533250273,142.98587035804644,145.00662283051844,103296000,0.013547987987396093,0.013457034567880824
2021-08-17,146.6173553466797,148.07190241442922,145.54351565601462,146.65639729187643,92229700,-0.006154186682857166,-0.006173201744689425
2021-08-18,142.87843322753906,147.134719463398,142.67342208980006,146.23660593235846,86326000,-0.025501224669479683,-0.025832016751042037
2021-08-19,143.21034240722656,144.4794213850425,141.0626783117476,141.5800696426097,86960300,0.002323018052409198,0.002320324017361314
2021-08-20,144.6649169921875,144.96754045087513,143.28845394220284,143.93275769698107,60549600,0.01015691018198095,0.010105675402401499
2021-08-23,146.14878845214844,146.61736630864482,144.37207444854158,144.7820819349536,60131800,0.010257300047675555,0.010205050931705276
2021-08-24,146.0609130859375,147.2714219782902,145.602092007955,145.89495874434272,48606400,-0.0006012733129135972,-0.0006014541502040661
2021-08-25,144.8308563232422,146.74423897086186,144.28417982272728,146.24636116832204,58991300,-0.008421532747584504,-0.008457194211764545
2021-08-26,144.03036499023438,145.57278230599707,144.00107981111,144.82110951404735,48597200,-0.005527077263295488,-0.0055424080706327
2021-08-27,145.06517028808594,145.2115961914639,143.33727014912955,143.97180225819312,55802400,0.007184632892666354,0.00715894637651031
2021-08-30,149.47764587402344,149.83885461039787,145.07493307828,145.45565533870288,90956700,0.030417195093589644,0.02996376401364042
2021-08-31,148.2183074951172,149.16523456794167,147.69114453920625,149.02856544896787,86453100,-0.0084249278314672,-0.008460618136150844
2021-09-01,148.8821258544922,151.293371319359,148.71617155840954,149.1945209265185,80313700,0.004478652945061334,0.004468653623504584
2021-09-02,149.99502563476562,151.0395800272227,148.77476016459727,150.20979354918074,71115500,0.007475039558214824,0.00744723989975989
2021-09-03,150.62954711914062,150.9516989362315,149.44832378980732,150.10238418360416,57808700,0.004230283515668454,0.004221361020628806
2021-09-07,152.96270751953125,153.51914078415754,150.71741625258127,151.2836211735212,82278300,0.015489393980220978,0.015370657848085915
2021-09-08,151.42031860351562,153.30440154284446,150.31719373274197,153.24583117728486,74420200,-0.010083431059944359,-0.010134613202661062
2021-09-09,150.405029296875,152.39649574316758,150.2878736971047,151.7912489116524,57305700,-0.006705106131093874,-0.006727686346972085
2021-09-10,145.42633056640625,151.7814665359228,145.16274910531013,151.3128888573864,140893200,-0.03310194315804171,-0.033662211173051244
2021-09-13,145.9925537109375,147.81806596111582,145.21158088499752,147.04686479158386,102404300,0.0038935393771259985,0.0038859791703066454
2021-09-14,144.5965576171875,147.4763957492906,143.4153491043727,146.7735217186003,109296300,-0.009562104766754342,-0.009608115230036464
2021-09-15,145.48492431640625,145.8851749521173,142.88819590848047,145.02610332343372,83281300,0.006143761053915675,0.006124965099919027
2021-09-16,145.25062561035156,145.42635157507343,143.71798000246844,144.90896023332135,68034100,-0.0016104672505112827,-0.0016117654468828116
2021-09-17,142.58555603027344,145.27991132028194,142.29268938190515,145.27991132028194,129868800,-0.018348076429133053,-0.018518490111089306
2021-09-20,139.53976440429688,141.39456149508126,137.90949193283979,140.3793074328847,123478900,-0.02136115123280713,-0.021592602604021634
2021-09-21,140.01812744140625,141.16030897663776,139.38359538478255,140.5062336067531,75834000,0.003428148522047092,0.0034222858158999823
2021-09-22,142.38058471679688,142.94677480134484,140.28171911608493,141.01387841720836,76404300,0.016872510142511787,0.01673175044976485
2021-09-23,143.33724975585938,143.5813028239796,142.17555476827644,143.1615238009879,64838200,0.006719069464178329,0.006696597122932114
2021-09-24,143.42514038085938,143.96206024126909,142.097490769583,142.19511797904687,53477900,0.000613173652694643,0.0006129857385425443
2021-09-27,141.91200256347656,142.48797924389808,140.39888514559524,142.00962976919416,74150700,-0.010550018032854935,-0.010606064012354621
2021-09-28,138.53431701660156,141.3067568929059,138.31954907870838,139.8424381686271,108972300,-0.02380126758738521,-0.024089094021415472
2021-09-29,139.43240356445312,141.0138627120859,138.6514307510702,139.08096654322168,74602000,0.0064827731293750634,0.006461850332134461
2021-09-30,138.13401794433594,140.94551367693097,137.91925008166186,140.2426397437822,89056700,-0.009311936012901034,-0.009355563135588657
2021-10-01,139.25669860839844,139.52028013802934,135.80091312494108,138.52453927839463,94639600,0.008127474178843519,0.008094624132483099
2021-10-04,135.83016967773438,138.8271483868743,134.98086980059804,138.38784096480848,98322000,-0.024605846360753914,-0.024913629532589344
2021-10-05,137.7533416748047,138.85646652806082,136.04496985928344,136.17188224652747,80861100,0.014158651215949725,0.014059353695518875
2021-10-06,138.6221466064453,138.76857249312508,135.07849119061893,136.15233067899587,83221100,0.006306960840860132,0.006287155195335182
2021-10-07,139.8814239501953,140.7893089405512,139.3249908042086,139.65689934011746,61732700,0.009084243568418637,0.00904323002536339
2021-10-08,139.50074768066406,140.75029837603776,139.16883903566588,140.60387247260306,58773200,-0.002721421177888428,-0.0027251309766473863
2021-10-11,139.41290283203125,141.3653278052875,138.43669034540312,138.88575464341304,64452200,-0.0006297088015176922,-0.0006299071513778527
2021-10-12,138.14382934570312,139.8424445053315,137.68500826630617,139.82291608395988,73035900,-0.009102984447982854,-0.00914466977769032
2021-10-13,137.55807495117188,138.0364094315763,135.88874541033104,137.88022678873125,78762700,-0.004240177772004583,-0.00424919281839824
2021-10-14,140.34027099609375,140.45742659800283,138.14379338196727,138.7295267040612,69907100,0.020225610498761704,0.020023789601485893
2021-10-15,141.3945770263672,141.453147377337,140.09621296187518,140.35003767716657,67940300,0.00751249817882127,0.007484419902027129
2021-10-18,143.06390380859375,143.34699879821167,139.75454497889402,140.03763996851194,85589200,0.01180615846331401,0.011737009498125932
2021-10-19,145.22134399414062,145.62159463310732,143.06392303976392,143.51297237963328,76378900,0.01508025524337242,0.014967678573238836
2021-10-20,145.70947265625,146.1878221446277,144.59659100003023,145.16279603857302,58418800,0.0033612735475652133,0.003355637094543194
2021-10-21,145.92422485351562,146.0804224119474,144.35252229936606,145.27016433537898,61421000,0.0014738382711207976,0.0014727532374746596
2021-10-22,145.15301513671875,146.6075619891813,145.1042015405824,146.12922747617256,58883400,-0.005285001291396529,-0.005299016312132468
2021-10-25,145.10418701171875,145.8168177773373,144.10844635434742,145.14322894722775,50720600,-0.00033639070434743346,-0.00033644729639213346
